LocusID;stratum;Braker;Maker 1;Maker 2;Maker 3
AT2G03821;Arabidopsis thaliana;1;0;1;1
AT4G31960;Arabidopsis thaliana;1;1;0;0
AT4G03940;Arabidopsis thaliana;1;0;0;0
AT2G07738;Arabidopsis thaliana;1;0;1;0
AT2G07724;Arabidopsis thaliana;1;0;0;1
AT1G24851;Arabidopsis thaliana;1;0;0;0
AT1G51030;Arabidopsis;1;0;0;0
AT1G59865;Arabidopsis;0;1;1;0
AT1G59865;Arabidopsis thaliana;0;1;1;0
AT1G11785;Arabidopsis thaliana;1;0;0;0
AT5G58790;Arabidopsis thaliana;1;1;1;1
AT5G58790;Arabidopsis thaliana;1;1;1;1
AT5G63340;Arabidopsis thaliana;0;0;0;0
AT5G48860;Arabidopsis thaliana;0;0;0;0
AT1G62935;Arabidopsis;1;1;1;1
AT2G34185;Arabidopsis thaliana;1;1;0;0
AT2G34185;Arabidopsis thaliana;1;1;0;0
AT2G34185;Arabidopsis thaliana;1;1;0;0
AT2G07701;Arabidopsis thaliana;1;0;0;0
AT5G05282;Arabidopsis thaliana;0;0;0;0
AT1G06148;Arabidopsis thaliana;1;1;1;1
AT1G06148;Arabidopsis thaliana;1;1;1;1
AT1G65483;Arabidopsis;1;0;1;0
AT1G65483;Arabidopsis;1;0;1;0
AT1G07485;Arabidopsis;1;0;0;0
AT1G80865;Arabidopsis thaliana;1;0;0;0
AT3G26742;Arabidopsis thaliana;0;1;1;0
AT2G07692;Arabidopsis thaliana;1;0;1;1
AT1G35255;Arabidopsis thaliana;1;0;0;0
AT3G49230;Arabidopsis thaliana;1;0;1;0
AT2G07702;Arabidopsis thaliana;1;0;0;0
AT5G25920;Arabidopsis;1;1;1;0
AT2G07795;Arabidopsis thaliana;1;1;1;1
AT5G09672;Arabidopsis thaliana;0;1;1;0
AT1G31990;Arabidopsis;1;0;1;0
AT2G20150;Arabidopsis thaliana;1;1;1;0
AT5G45095;Arabidopsis thaliana;1;0;0;0
AT5G46310;Arabidopsis;1;0;0;0
AT5G54460;Arabidopsis;1;0;0;0
AT2G14282;Arabidopsis;0;0;0;0
AT2G25685;Arabidopsis;0;1;0;0
AT4G09647;Arabidopsis;0;0;1;0
AT3G46470;Arabidopsis;1;0;1;0
AT5G18403;Arabidopsis;0;0;0;0
AT2G23067;Arabidopsis;0;1;0;0
AT1G53480;Arabidopsis;1;0;1;0
AT1G53480;Arabidopsis;1;0;1;0
AT2G29790;Arabidopsis;0;0;0;1
AT4G19035;Arabidopsis;1;1;1;1
AT5G34581;Arabidopsis;1;0;0;0
AT4G15460;Arabidopsis;1;0;0;0
AT1G61097;Arabidopsis;1;0;1;0
AT3G49307;Arabidopsis;1;1;1;0
AT5G57650;Arabidopsis;0;0;0;0
AT3G33187;Arabidopsis;0;0;0;0
AT1G76954;Arabidopsis;0;0;1;0
AT5G18407;Arabidopsis;0;0;1;0
AT5G49250;Arabidopsis;1;0;1;0
AT3G24542;Arabidopsis;0;1;0;0
AT5G24480;Arabidopsis;1;0;0;0
AT4G29200;Arabidopsis;1;0;1;0
AT1G37000;Arabidopsis;1;0;1;0
AT2G15025;Arabidopsis;1;1;1;1
AT5G35890;Arabidopsis;1;0;0;0
AT1G20967;Arabidopsis;0;0;0;0
AT3G10526;Arabidopsis;0;0;0;0
AT5G61997;Arabidopsis;0;0;0;0
AT3G62097;Arabidopsis;0;0;0;0
AT5G19257;Arabidopsis;0;0;0;0
AT2G30032;Arabidopsis;0;0;0;0
AT2G31218;Arabidopsis;0;0;0;0
AT1G02074;Arabidopsis;0;0;1;0
AT3G28918;Arabidopsis;0;0;0;0
AT3G04184;Arabidopsis;1;0;0;0
AT3G20362;Arabidopsis;0;0;0;0
AT3G03456;Arabidopsis;0;0;0;0
AT1G47265;Arabidopsis;1;0;1;0
AT1G22767;Arabidopsis;0;0;0;0
AT3G43722;Arabidopsis;0;0;0;0
AT3G44171;Arabidopsis;0;0;0;0
AT4G25707;Arabidopsis;1;0;0;0
AT3G45851;Arabidopsis;0;0;0;0
AT3G61571;Arabidopsis;1;0;0;0
AT3G58080;Arabidopsis;0;0;0;0
AT5G03204;Arabidopsis;0;1;0;0
AT4G31351;Arabidopsis;0;0;0;0
AT1G28135;Arabidopsis;0;0;0;0
AT5G60260;Arabidopsis;1;1;0;0
AT2G29628;Arabidopsis;0;0;0;0
AT3G20900;Arabidopsis;0;0;0;0
AT4G14315;Arabidopsis;0;0;0;0
AT4G31354;Arabidopsis;0;0;1;0
AT3G04997;Arabidopsis;0;0;0;0
AT5G24879;Arabidopsis;0;0;0;0
AT2G20921;Arabidopsis;0;0;0;0
AT1G53542;Arabidopsis;0;0;0;0
AT3G50751;Arabidopsis;0;0;0;0
AT3G30849;Arabidopsis;0;0;1;0
AT1G12423;Arabidopsis;0;0;0;0
AT2G43386;Arabidopsis;0;0;0;0
AT3G16712;Arabidopsis;0;0;1;0
AT4G04601;Arabidopsis;0;1;1;0
AT1G52390;Arabidopsis;1;0;0;0
AT5G18661;Arabidopsis;0;1;0;1
AT4G18850;Arabidopsis;0;0;0;0
AT5G05113;Arabidopsis;1;0;0;0
AT1G22651;Arabidopsis;0;0;1;0
AT1G49938;Arabidopsis;0;1;1;0
AT2G19700;Arabidopsis;1;0;1;0
AT3G44210;Arabidopsis;0;0;0;0
AT5G22555;Arabidopsis;1;1;1;1
AT5G16567;Arabidopsis;0;1;0;1
AT2G10965;Arabidopsis;1;1;1;1
AT3G57850;Arabidopsis;0;0;0;0
AT4G02910;Arabidopsis;0;0;1;0
AT2G23348;Arabidopsis;0;1;1;0
AT3G13370;Arabidopsis;1;0;1;0
AT2G45161;Arabidopsis;0;0;0;0
AT5G55565;Arabidopsis;0;0;1;0
AT4G07965;Arabidopsis;1;0;1;0
AT1G72580;Arabidopsis;1;0;0;0
AT3G43880;Arabidopsis;1;0;0;0
AT4G27930;Arabidopsis;1;0;0;0
AT1G35500;Arabidopsis;1;0;0;0
AT3G45910;Arabidopsis;1;0;0;0
AT3G21371;Arabidopsis;0;0;0;0
AT3G52700;Arabidopsis;1;0;1;0
AT2G07215;Arabidopsis;1;0;1;0
AT1G37007;Arabidopsis;0;0;1;0
AT3G29790;Arabidopsis;1;0;0;0
AT2G13272;Arabidopsis;1;0;1;0
AT1G35614;Arabidopsis;1;0;0;0
AT1G01305;Arabidopsis;1;1;1;1
AT4G12990;Arabidopsis;1;0;0;0
AT1G36925;Arabidopsis;1;0;1;0
AT3G61827;Arabidopsis;0;0;0;0
AT3G24517;Arabidopsis;1;0;0;0
AT1G42699;Arabidopsis;0;0;0;0
AT1G61090;Arabidopsis;1;0;1;0
AT1G33820;Arabidopsis;0;0;0;0
AT3G43500;Arabidopsis;1;0;0;0
AT3G43870;Arabidopsis;1;0;0;0
AT1G31960;Arabidopsis;1;0;0;0
AT5G52901;Arabidopsis;0;1;0;1
AT1G43320;Arabidopsis;1;0;1;0
AT3G62336;Arabidopsis;0;0;0;0
AT4G08593;Arabidopsis;1;0;1;0
AT1G44740;Arabidopsis;1;1;1;0
AT3G55566;Arabidopsis;0;1;1;0
AT4G18860;Arabidopsis;0;0;0;0
AT1G42080;Arabidopsis;1;1;1;1
AT4G19240;Arabidopsis;1;0;1;0
AT1G70949;Arabidopsis;0;0;0;0
AT1G61095;Arabidopsis;1;1;0;0
AT3G30320;Arabidopsis;1;0;1;0
AT1G61093;Arabidopsis;1;0;0;0
AT2G34270;Arabidopsis;1;0;0;0
AT2G07713;Arabidopsis;1;0;1;0
AT1G32000;Arabidopsis;1;0;0;0
AT2G11626;Arabidopsis;1;0;1;0
AT2G02440;Arabidopsis;1;0;1;0
AT2G07676;Arabidopsis;0;0;1;0
AT3G11165;Arabidopsis;1;0;0;0
AT2G18930;Arabidopsis;1;0;1;0
AT1G09026;Arabidopsis;0;1;1;1
AT2G07673;Arabidopsis;1;0;1;0
AT3G02242;Arabidopsis;1;1;0;0
AT5G40855;Arabidopsis;0;0;0;0
AT2G19420;Arabidopsis;0;0;1;0
AT1G41820;Arabidopsis;1;0;1;0
AT3G52700;Arabidopsis;1;0;1;0
AT1G51020;Arabidopsis;1;0;0;0
AT1G51000;Arabidopsis;1;0;0;0
AT5G15360;Arabidopsis;1;0;0;0
AT1G50691;Arabidopsis;0;0;1;0
AT3G23245;Arabidopsis;1;0;1;0
AT5G03090;Arabidopsis;1;1;0;0
AT3G25716;Arabidopsis;0;0;1;0
AT1G36922;Arabidopsis;1;1;1;1
AT5G41660;Arabidopsis;1;0;1;0
AT2G29850;Arabidopsis;1;0;1;1
AT1G01400;Arabidopsis;1;0;0;0
AT3G43280;Arabidopsis;1;1;1;1
AT5G34869;Arabidopsis;1;1;1;1
AT5G50500;Arabidopsis;0;0;0;0
AT3G32896;Arabidopsis;1;0;1;0
AT2G11570;Arabidopsis;1;0;1;0
AT2G38304;Arabidopsis;0;0;0;0
AT2G06555;Arabidopsis;1;0;0;0
AT2G30760;Arabidopsis;0;0;0;0
AT5G35230;Arabidopsis;1;0;0;0
AT1G51010;Arabidopsis;1;0;0;0
AT1G51035;Arabidopsis;1;0;0;0
AT5G65609;Arabidopsis;0;0;0;0
AT1G34280;Arabidopsis;1;0;0;1
AT3G49770;Arabidopsis;1;0;1;0
AT1G35617;Arabidopsis;1;1;1;0
AT1G53640;Arabidopsis;1;1;1;0
AT1G72080;Arabidopsis;1;0;0;0
AT2G12875;Arabidopsis;1;0;1;0
AT1G05450;Arabidopsis thaliana;1;1;1;1
AT3G61962;Arabidopsis thaliana;0;0;0;0
AT4G31030;Arabidopsis thaliana;0;0;1;0
AT3G52941;Arabidopsis thaliana;0;0;0;0
AT4G24644;Arabidopsis thaliana;0;0;0;0
AT1G18220;Arabidopsis thaliana;0;0;1;0
AT4G06490;Arabidopsis thaliana;1;0;0;0
AT4G07740;Arabidopsis thaliana;1;0;0;0
AT5G35603;Arabidopsis thaliana;1;0;0;0
AT5G35603;Arabidopsis thaliana;1;0;0;0
AT5G29050;Arabidopsis thaliana;1;0;0;0
AT5G33898;Arabidopsis thaliana;1;0;0;0
AT2G11015;Arabidopsis thaliana;1;0;0;0
AT5G35603;Arabidopsis thaliana;1;0;0;0
AT5G28620;Arabidopsis thaliana;1;0;0;0
AT4G39403;Arabidopsis thaliana;0;0;1;0
AT4G06526;Arabidopsis thaliana;1;0;0;0
AT5G56795;Arabidopsis thaliana;0;0;0;0
AT1G45015;Arabidopsis thaliana;1;1;1;0
AT3G43160;Arabidopsis thaliana;1;0;1;0
AT3G09922;Arabidopsis thaliana;0;1;1;1
AT1G56530;Arabidopsis thaliana;1;0;1;0
AT4G11430;Arabidopsis thaliana;1;0;0;0
AT3G14480;Arabidopsis thaliana;1;0;0;0
AT3G29033;Arabidopsis thaliana;1;0;1;0
AT1G44085;Arabidopsis thaliana;0;0;0;0
AT3G42130;Arabidopsis thaliana;1;0;1;0
AT5G42635;Arabidopsis thaliana;1;0;0;0
AT2G26120;Arabidopsis thaliana;1;0;0;0
AT2G11005;Arabidopsis thaliana;1;0;0;0
AT3G44950;Arabidopsis thaliana;1;0;0;0
AT5G33390;Arabidopsis thaliana;1;1;1;0
AT3G13403;Arabidopsis thaliana;0;0;0;0
AT4G08039;Arabidopsis thaliana;0;0;1;0
AT5G35195;Arabidopsis thaliana;0;0;0;0
AT1G31772;Arabidopsis thaliana;0;1;0;0
AT2G34120;Arabidopsis thaliana;1;1;0;1
AT3G43153;Arabidopsis thaliana;1;0;0;0
AT1G32650;Arabidopsis thaliana;0;0;0;0
AT3G46904;Arabidopsis thaliana;0;1;0;0
AT2G24592;Arabidopsis thaliana;0;0;0;0
AT5G28821;Arabidopsis thaliana;0;0;0;0
AT5G35066;Arabidopsis thaliana;1;0;1;0
AT3G29633;Arabidopsis thaliana;0;1;1;0
AT4G39986;Arabidopsis thaliana;0;0;0;0
AT2G14206;Arabidopsis thaliana;0;0;0;0
AT2G15029;Arabidopsis thaliana;0;1;0;1
AT3G61763;Arabidopsis thaliana;0;0;1;0
AT4G02325;Arabidopsis thaliana;0;0;0;0
AT2G18721;Arabidopsis thaliana;0;0;0;0
AT5G47306;Arabidopsis thaliana;0;0;0;0
AT1G30016;Arabidopsis thaliana;0;0;0;0
AT4G38052;Arabidopsis thaliana;0;0;0;0
AT5G04267;Arabidopsis thaliana;0;0;0;0
AT3G25221;Arabidopsis thaliana;0;0;1;0
AT4G01703;Arabidopsis thaliana;0;0;0;0
AT3G30391;Arabidopsis thaliana;0;0;0;0
AT3G50337;Arabidopsis thaliana;0;0;0;0
AT1G65907;Arabidopsis thaliana;0;0;0;0
AT3G09975;Arabidopsis thaliana;0;0;1;0
AT4G20006;Arabidopsis thaliana;0;0;0;0
AT2G27540;Arabidopsis thaliana;0;0;0;0
AT3G19035;Arabidopsis thaliana;0;0;0;0
AT1G13485;Arabidopsis thaliana;0;1;0;0
AT4G08949;Arabidopsis thaliana;0;0;0;0
AT5G42053;Arabidopsis thaliana;0;0;0;0
AT2G11773;Arabidopsis thaliana;1;0;0;0
AT3G50682;Arabidopsis thaliana;0;1;0;0
AT4G08406;Arabidopsis thaliana;0;0;0;0
AT5G28465;Arabidopsis thaliana;0;0;0;0
AT5G25422;Arabidopsis thaliana;1;0;0;0
AT2G07000;Arabidopsis thaliana;0;0;1;0
AT5G53410;Arabidopsis thaliana;0;0;0;0
AT2G11651;Arabidopsis thaliana;0;0;0;0
AT4G10596;Arabidopsis thaliana;0;0;0;0
AT3G28291;Arabidopsis thaliana;0;0;1;0
AT2G44198;Arabidopsis thaliana;0;0;0;0
AT1G26916;Arabidopsis thaliana;0;0;0;0
AT5G14011;Arabidopsis thaliana;0;0;0;0
AT5G52080;Arabidopsis thaliana;0;0;0;0
AT2G23834;Arabidopsis thaliana;0;0;0;0
AT3G26539;Arabidopsis thaliana;1;1;1;0
AT1G70944;Arabidopsis thaliana;0;0;0;0
AT5G29044;Arabidopsis thaliana;1;0;0;0
AT5G45973;Arabidopsis thaliana;0;0;0;0
AT2G46567;Arabidopsis thaliana;0;0;0;0
AT5G28642;Arabidopsis thaliana;0;0;0;0
AT5G28931;Arabidopsis thaliana;0;0;0;0
AT2G45434;Arabidopsis thaliana;0;0;0;0
AT2G11271;Arabidopsis thaliana;1;1;1;1
AT3G31401;Arabidopsis thaliana;0;0;0;0
AT1G26771;Arabidopsis thaliana;0;0;0;0
AT4G08151;Arabidopsis thaliana;0;0;0;0
AT4G35519;Arabidopsis thaliana;0;0;0;0
AT3G30705;Arabidopsis thaliana;0;0;0;0
AT5G10336;Arabidopsis thaliana;0;0;0;0
AT2G13422;Arabidopsis thaliana;0;0;0;0
AT1G12938;Arabidopsis thaliana;0;0;0;0
AT3G22723;Arabidopsis thaliana;0;0;0;0
AT2G34186;Arabidopsis thaliana;0;0;0;0
AT4G09860;Arabidopsis thaliana;0;0;1;0
AT5G39024;Arabidopsis thaliana;0;0;0;0
AT3G17845;Arabidopsis thaliana;0;0;0;1
AT5G23908;Arabidopsis thaliana;0;0;0;0
AT1G53541;Arabidopsis thaliana;0;0;0;0
AT5G26912;Arabidopsis thaliana;0;0;0;0
AT5G57747;Arabidopsis thaliana;0;0;0;0
AT3G26511;Arabidopsis thaliana;0;0;0;0
AT3G14340;Arabidopsis thaliana;0;1;1;1
AT1G14225;Arabidopsis thaliana;0;0;0;0
AT3G04854;Arabidopsis thaliana;0;0;0;0
AT5G15853;Arabidopsis thaliana;0;0;0;0
AT2G16019;Arabidopsis thaliana;0;0;0;0
AT4G00124;Arabidopsis thaliana;0;0;0;0
AT5G13917;Arabidopsis thaliana;0;0;0;0
AT1G03106;Arabidopsis thaliana;0;0;1;0
AT1G23724;Arabidopsis thaliana;0;0;0;0
AT4G05265;Arabidopsis thaliana;0;0;0;0
AT3G15548;Arabidopsis thaliana;0;0;0;0
AT1G43624;Arabidopsis thaliana;0;0;0;0
AT4G28068;Arabidopsis thaliana;0;0;1;0
AT3G50123;Arabidopsis thaliana;0;0;0;0
AT5G23989;Arabidopsis thaliana;0;0;0;0
AT3G12835;Arabidopsis thaliana;1;0;0;0
AT3G47543;Arabidopsis thaliana;0;0;0;0
AT3G29195;Arabidopsis thaliana;0;0;0;0
AT3G43574;Arabidopsis thaliana;0;0;1;0
AT4G14105;Arabidopsis thaliana;0;0;0;0
AT1G15045;Arabidopsis thaliana;0;0;0;0
AT2G38544;Arabidopsis thaliana;0;0;0;0
AT2G07684;Arabidopsis thaliana;1;0;1;0
AT4G09587;Arabidopsis thaliana;1;0;0;0
AT5G29054;Arabidopsis thaliana;0;0;0;0
AT3G48298;Arabidopsis thaliana;0;0;0;0
